,Okres
1275,"Havlíčkův Brod
         Benešov
 Ústí nad Orlicí
         Příbram
         Chrudim
    Karlovy Vary"
1276,NA
1277,NA
1278,Liberec
1279,Hlavní město Praha
1280,NA
1281,České Budějovice
1282,Plzeň-město
1283,Plzeň-město
1284,Hlavní město Praha
1285,"Teplice
 Břeclav"
1286,"Teplice
 Břeclav"
1287,"Teplice
 Břeclav"
1288,Mladá Boleslav
1289,Mladá Boleslav
1290,Žďár nad Sázavou
1291,Louny
1292,Louny
1293,Rakovník
1294,Rakovník
1295,Frýdek-Místek
1296,Frýdek-Místek
1297,Frýdek-Místek
1298,Frýdek-Místek
1299,Frýdek-Místek
1300,Plzeň-město
1301,"Blansko
 Benešov"
1302,"Blansko
 Benešov"
1303,"Blansko
 Benešov"
1304,Hlavní město Praha
1305,Hlavní město Praha
1306,Chrudim
1307,NA
1308,České Budějovice
1309,"Svitavy
          Bruntál
    Frýdek-Místek
          Šumperk
 Uherské Hradiště"
1310,Hlavní město Praha
1311,Tábor
1312,Tábor
1313,Hradec Králové
1314,Hlavní město Praha
1315,"Chrudim
  Kladno"
1316,"Chrudim
  Kladno"
1317,"České Budějovice
         Rokycany"
1318,"České Budějovice
         Rokycany"
1319,Most
1320,NA
1321,NA
1322,NA
1323,NA
1324,Ústí nad Orlicí
1325,Chrudim
1326,Most
1327,Tábor
1328,NA
1329,NA
1330,Kladno
1331,Kladno
1332,Hlavní město Praha
1333,NA
1334,NA
1335,NA
1336,NA
1337,NA
1338,NA
1339,NA
1340,NA
1341,NA
1342,Pelhřimov
1343,Pelhřimov
1344,Pelhřimov
1345,Pelhřimov
1346,Pelhřimov
1347,Pelhřimov
1348,Pelhřimov
1349,Jihlava
1350,Jičín
1351,Jičín
1352,Jičín
1353,Hlavní město Praha
1354,Pelhřimov
1355,NA
1356,"Domažlice
    České Budějovice
              Mělník
         Brno-venkov
             Sokolov
              Třebíč
       Český Krumlov
    Žďár nad Sázavou
 Rychnov nad Kněžnou
             Liberec
        Praha-východ
           Plzeň-jih
               Louny
          Strakonice"
1357,Ústí nad Orlicí
1358,Znojmo
1359,Znojmo
1360,Znojmo
