,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
5595,"Nissan Navara, 2,5dCi  King Cab",2008,219 900 Kč,234 426 km,"Nafta, 126 kW",Manuální,pick up,Vysočina
5596,"Škoda Octavia, 2,0TDI RS Servisní kniha",2010,259 900 Kč,253 607 km,"Nafta, 125 kW",Manuální,kombi,Vysočina
5597,"Mercedes-Benz Třída V, V 250 D AVANTGARDE 8-MÍST",2016,1 250 000 Kč,74 500 km,"Nafta, 140 kW",Automatická,VAN,Plzeňský
5598,"Toyota Yaris, 1.0 VVT-i ,klima,centrál,",2008,95 000 Kč,96 465 km,"Benzín, 51 kW",Manuální,hatchback,Plzeňský
5599,"Volkswagen Golf Plus, 1.4i 16V COMFORTLINE,KLIMA,10x",2009,149 000 Kč,138 409 km,"Benzín, 59 kW",Manuální,hatchback,Plzeňský
5600,"Dacia Sandero, 1.6i,64kW,Stepway,1maj,klima,S",2010,124 900 Kč,119 000 km,"Benzín, 64 kW",Manuální,hatchback,Středočeský
5601,"Mazda 3, 1.6i serv. knížka",2006,77 000 Kč,194 234 km,"Benzín, 77 kW",Manuální,hatchback,Liberecký
5602,"Peugeot 3008, 2.0BlueHDi GT-Line,Full LED",2018,599 000 Kč,132 100 km,"Nafta, 130 kW",Automatická,SUV,Ústecký
5603,"Audi Q3, 2.0 TDI Rozvody,oleje",2013,359 000 Kč,148 000 km,"Nafta, 103 kW",Manuální,SUV,Vysočina
5604,"Volkswagen Beetle, 1,3 Brouk.",1970,199 999 Kč,61 162 km,"Benzín, 32 kW",,hatchback,Středočeský
5605,"Hyundai i30, 1.4 i 16V",2010,119 000 Kč,130 000 km,"Benzín, 80 kW",Manuální,hatchback,Vysočina
5606,"Volkswagen Beetle, 1,3 Army Styl",1970,129 999 Kč,94 662 km,"Benzín, 32 kW",,hatchback,Středočeský
5607,"Toyota Celica, XT 2000",1980,199 999 Kč,96 000 km,"Benzín, 65 kW",,liftback,Středočeský
5608,"Škoda Rapid, 1,0 TSI Ambition Spaceback",2018,295 000 Kč,44 890 km,"Benzín, 70 kW",Manuální,hatchback,Středočeský
5609,"Nissan Note, 1,6",,54 900 Kč,236 955 km,"Benzín, 81 kW",,kombi,Vysočina
5610,"Škoda Fabia, 1.4TDi 66kW -1.MAJ.-VÝBAVA",2018,199 900 Kč,209 008 km,"Nafta, 66 kW",Manuální,hatchback,Pardubický
5611,"Mercedes-Benz SLK, 200 Kompressor,Automat",2006,219 950 Kč,98 246 km,"Benzín, 120 kW",Automatická,kabriolet,Plzeňský
5612,"Opel Meriva, 1.7CDTi 74kW KLIMA",2006,64 000 Kč,216 269 km,"Nafta, 74 kW",Manuální,MPV,Královéhradecký
5613,"Renault Clio, 1.5DCi 48kW Klima",2004,25 000 Kč,214 700 km,"Nafta, 48 kW",Manuální,hatchback,Královéhradecký
5614,"BMW Řada 3, 330xi M-PACKET",2006,100 000 Kč,429 282 km,"Benzín, 190 kW",Automatická,sedan,Královéhradecký
